Small,Low,87.53,91.09,3.5600000000000023,88.45,91.4,2.950000000000003,98.98,99.93,99.98,0.04999999999999716
,Medium,85.43,87.79,2.3599999999999994,86.29,87.87,1.5799999999999983,98.16,99.86,99.88,0.01999999999999602
,High,85.2,87.08,1.8799999999999955,85.9,87.12,1.2199999999999989,98.48,99.6,99.62,0.020000000000010232
Medium,Low,79.29,83.95,4.659999999999997,80.71,84.74,4.030000000000001,99.75,99.98,100.0,0.01999999999999602
,Medium,78.21,80.51,2.3000000000000114,79.0,80.58,1.5799999999999983,97.72,98.53,98.54,0.010000000000005116
,High,72.17,73.26,1.0900000000000034,72.72,73.28,0.5600000000000023,92.72,94.5,94.5,0.0
Large,Low,73.25,76.78,3.530000000000001,74.41,77.47,3.0600000000000023,98.81,99.5,99.53,0.030000000000001137
,Medium,75.51,77.51,2.0,76.26,77.55,1.289999999999992,97.15,97.96,97.98,0.020000000000010232
,High,70.12,70.97,0.8499999999999943,70.54,70.99,0.44999999999998863,90.06,91.36,91.35,-0.010000000000005116
Jumbo,Low,71.58,74.69,3.1099999999999994,72.42,74.99,2.569999999999993,97.13,97.88,97.9,0.020000000000010232
,Medium,70.37,71.76,1.3900000000000006,70.94,71.78,0.8400000000000034,90.99,92.09,92.09,0.0
,High,66.64,67.36,0.7199999999999989,66.77,67.37,0.6000000000000085,85.36,86.26,86.26,0.0
