n,NN_time,eigendecomp_time,mosek_tol=1e-2_time,mosek_tol=1e-1_time
2,0.030742627062136305,0.05811646805377677,0.9615165233612061,0.627471923828125
3,0.030532106049940923,0.06316961715347133,1.228694248199463,0.7469555139541626
4,0.03116363959852606,0.0639788463304285,1.3302011251449584,0.821087384223938
5,0.04601365981216077,0.06802125690446702,1.4284671545028687,0.9326900720596314
