M+S^E_3 with selection size 0.1 comparison in terms of gap closed - total times at cut rounds - separation times at cut rounds and nb of sdp cuts added at cut rounds between opt - feas - comb - dense - rand
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,sep_time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
filename,size,density,nb_subproblems,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand
spar040-030-2,40,30,281,0.46802121597348884,0.4042459373231351,0.46802121597348884,-0.0,0.31594551157216133,0.7820667933555567,0.6226230940801498,0.7820667933555567,-0.0,0.44971165694205983,0.8659233951499334,0.8013352859856234,0.8751881142815081,-0.0,0.5255082353535183,0.903041199148404,0.8761527498349012,0.9199270857016536,-0.0,0.6142196342168286,0.009287523000011788,0.011507143000244469,0.009655523999981597,0.018539465000230848,0.004010652200031472,0.009052294000184702,0.011241310000059457,0.00943131999997604,0.04337474800036034,0.0033880925998801105,0.008394156000122166,0.011498488999677647,0.009235739000132526,0.061986037999986365,0.0031326194000484975,0.007763022000290221,0.011353194000093936,0.014526563999879727,0.08016949499983639,0.003770801400060009,0.006530526000005921,0.008441603000164832,0.006949544000008245,0.010887449000165361,0.0019238166000377533,0.0063305050000508345,0.008377431000099023,0.006792555999936667,0.011835112000198933,0.001814715799946498,0.006075015000078565,0.008588977999806957,0.006822700000157056,0.012181318999864743,0.0017124320000675652,0.00564418600015415,0.008461380999960966,0.012033843999915916,0.012860389999787003,0.0018483554000795267,28,28,28,16,15.6,28,28,28,19,16.6,26,28,28,19,14.0,16,28,28,19,16.4
spar040-030-3,40,30,234,0.5460224052907395,0.13641906321536812,0.5460224052907395,-0.0,0.23265018898654458,0.8107915885698009,0.35864444058489175,0.8107915885698009,-0.0,0.40460967728872793,0.8796537454245805,0.6727008712376829,0.8859087189703373,-0.0,0.5312649438807932,0.9035637123201007,0.846263422274377,0.910021549786181,-0.0,0.6193071281405915,0.008467278000352962,0.008451765000017986,0.00879222300022775,0.019248489999881713,0.003369811799893796,0.007997333000048457,0.009209979999923235,0.00844594899990625,0.03851170000007187,0.0030161453999880904,0.007009550999782732,0.010239930000125241,0.008206902999972954,0.06099768600006428,0.0034422634000293327,0.006787505000147576,0.01053132100014409,0.012086039000223536,0.10782319000009011,0.003229514400027256,0.005232583000179147,0.007044255999971938,0.005762608000168257,0.010099660999912885,0.0015935539999645699,0.005194501000005403,0.007068056999969485,0.005608690999906685,0.011295501000176955,0.0014486410000245087,0.004932740999947782,0.007083035000050586,0.00577148299998953,0.012099419000151101,0.001565418200016211,0.004924035000158256,0.0071141160001388926,0.010017172000061692,0.012899177000008422,0.0015665800000078888,23,23,23,15,11.6,23,23,23,18,11.4,17,23,23,19,13.4,19,23,23,20,13.6
spar040-040-1,40,40,567,0.2896387736818999,0.1444692109713517,0.2896387736818999,-0.0,0.16714505738621332,0.6001233476751682,0.18012201180452306,0.6001233476751682,-0.0,0.3190094667212093,0.697498612736136,0.4273652283598546,0.697710085284015,-0.0,0.4055821242708967,0.7363385348764778,0.5640644686929379,0.7357697391736241,0.09060753037302581,0.48347186984502155,0.020435660000202915,0.021029859999998735,0.02132301999995434,0.0218291369999406,0.007855411399987133,0.022154538999984652,0.019730396000113615,0.02256345099999635,0.04320164999990084,0.008059325999875,0.020939228000088406,0.0242127490000712,0.022009198999739965,0.09464487400009602,0.00806737920006526,0.021827597000083188,0.02429100099993775,0.02317343400000027,0.21666569400008484,0.009180739199973687,0.012982521000139968,0.018008482000141157,0.01409650799996598,0.01162797999995746,0.003912862799961658,0.012903515000061816,0.017647363000151017,0.013629266999942047,0.012748700999964058,0.0036122259999501693,0.012770694999971965,0.01795284900003935,0.013862873999869407,0.012936752000086926,0.0035845341999902304,0.012723522999976922,0.01804012499997043,0.014203582000163806,0.012960398000132045,0.003625121599998238,56,56,56,17,40.2,56,56,56,20,38.6,53,56,56,20,37.6,54,56,56,19,38.6
spar040-040-2,40,40,613,0.44720334725661537,0.23282446062066714,0.44720334725661537,-0.0,0.316762605649018,0.7414699065173723,0.5780162729670176,0.7414699065173723,-0.0,0.4957051281426502,0.8609478058952227,0.7414109224620624,0.8625204022420913,0.0024202759384035445,0.6129704745820397,0.8943131872615366,0.8394661673469797,0.8983748898341304,0.1449640581972548,0.692262893059068,0.02084793499989246,0.022109908000174983,0.02186025600008179,0.02210698799990496,0.009612284399963755,0.02360294000027352,0.025303029000042443,0.025243043000273246,0.05294209399994543,0.008676601800016216,0.02200924799990389,0.026812839999820426,0.023948014000325202,0.1332747180001661,0.009299109200037492,0.019054044000085923,0.02694108099967707,0.03323277599997709,0.18712455299987596,0.009677931600026567,0.013596457999938139,0.018268132999992304,0.014605485000174667,0.01153960399983589,0.004309779799950775,0.01335875900008432,0.018327773999999408,0.015007777000164424,0.012261278999858405,0.0038422216000071783,0.013173545999961789,0.01799213599997529,0.01450436800018906,0.013474389000066367,0.00392684440002995,0.01257851400009713,0.018236674999798197,0.026190219999989495,0.01293749299998126,0.0038964532000591136,61,61,61,17,50.0,61,61,61,19,40.4,60,61,61,21,42.6,46,61,61,20,42.2
spar040-040-3,40,40,621,0.28648952610794165,0.19228126509240853,0.28648952610794165,-0.0,0.15838021115156065,0.5662657036790606,0.43100560439008884,0.5662657036790606,-0.0,0.2918693612772217,0.6785134512394604,0.6218082384065374,0.6785134512394604,-0.0,0.3986744033454723,0.7414968975753621,0.6987562873497427,0.7434314764925639,0.029676012829093355,0.4968646160519139,0.019742414999882385,0.024233046999825092,0.021521451999888086,0.023569257999952242,0.008151937200045723,0.023805561000017406,0.025024249999887616,0.024927168999965943,0.04432739499998206,0.008650864999935948,0.025529309000148714,0.02845744000023842,0.027222881999932724,0.08078981700009535,0.009237398000050235,0.02533652599981906,0.02840529299987793,0.029423704999999245,0.16713319799987403,0.011444092400006411,0.013587231999963478,0.018988612999919496,0.015501295999911235,0.011295522999944296,0.004197523399989222,0.013605048000044917,0.01874954999993861,0.014748517000043648,0.01204478099998596,0.004037927799936369,0.013541433000000325,0.018300376000070173,0.015202464999902077,0.012872319000052812,0.004016991800062897,0.013256732999934684,0.01886531499985722,0.015584386999989874,0.01221231199997419,0.004105452199974024,62,62,62,17,45.0,62,62,62,19,44.0,62,62,62,20,45.2,59,62,62,18,48.0
spar040-050-1,40,50,1114,0.3316812061529802,0.22954281601682447,0.3316812061529802,-0.0,0.2312836163870984,0.6454764104963018,0.46702155268129303,0.6454764104963018,0.00017734750363280073,0.38621073751246643,0.7516268281936134,0.6087194749149553,0.7516268281936134,0.15309989802002774,0.4963886749724203,0.7888777353218206,0.7401955960905864,0.7906045059374571,0.28391833060462995,0.5812106883386992,0.03845519000014974,0.04254551999997602,0.041231795000157945,0.02550132800024585,0.015001174999952127,0.05008572199994887,0.04571821700028522,0.05168617499998618,0.0747797819999505,0.014874608799982526,0.04968684699997539,0.049889532999941366,0.053484138999920106,0.1486643890002597,0.01782094459995278,0.04964791900010823,0.0624854499999401,0.07588452799996048,0.15453651400002855,0.02122680039997249,0.02421671500019329,0.0329387819999738,0.026728749000085372,0.012018728000157353,0.007288811399939732,0.024625795000019934,0.03592295800012835,0.02697836299989831,0.012758503999975801,0.006748388799996974,0.026051662999861946,0.033156688999952166,0.02715679099992485,0.012947240000130478,0.006845375399961995,0.025079594000089855,0.033111909000126616,0.04952298700004576,0.012341633999994883,0.007154681999963941,111,111,111,18,83.2,111,111,111,20,71.6,109,111,111,19,74.2,104,111,111,19,81.0
spar040-050-2,40,50,1217,0.4235845114441421,0.24145779729656947,0.4235845114441421,-0.0,0.26612454043106587,0.7014582113307584,0.5116648276954671,0.7014582113307584,0.00663921999483306,0.4428638889451921,0.7851570269021224,0.7084843137530095,0.7860734240096421,0.16506323752154034,0.5517001224636254,0.8137419446401529,0.781105983748421,0.8182373946203448,0.28679535402338735,0.6222045223599916,0.04563329200004773,0.04561086600006092,0.04856720900011169,0.025345886999957656,0.016708455400021194,0.05038248699997894,0.05195628800015584,0.05353463799997371,0.07105175700007749,0.017747743399877437,0.05453106200002367,0.058123246000150175,0.054829243000085626,0.14643698399981986,0.021699133800029812,0.04966040200019961,0.06307810900011646,0.07987904800006618,0.15648401800012834,0.022785486799921272,0.027450951999981044,0.03589441999997689,0.030452075000084733,0.01192124999988664,0.008023406599977533,0.027505556000051,0.03691134200016677,0.030588224999974045,0.012095668000029036,0.007644639399950392,0.026308663999998316,0.03621762200009471,0.029449328000055175,0.012442930999895907,0.007899837400009347,0.026521011000113504,0.03609032899998965,0.05373779299998205,0.012475481000137734,0.007796421799912423,121,121,121,18,89.4,121,121,121,19,79.6,117,121,121,19,86.0,115,121,121,19,80.2
spar040-050-3,40,50,1266,0.42436149070692253,0.1896858001045586,0.42436149070692253,-0.0,0.25307077052073157,0.7118881694672105,0.448528500044912,0.7118881694672105,-0.0,0.41453229185497253,0.8014280812984479,0.6484918803953381,0.8015378548952692,0.11480516432285622,0.5445019045295983,0.8321308127964027,0.7755443757071391,0.8322050655484216,0.28998176210446175,0.6277417629955213,0.04426713100019697,0.0466632729999219,0.048190241999918726,0.02682917200013435,0.01549553339996237,0.053196742000181985,0.05178004599997621,0.05736512499993296,0.06755089599982966,0.016583753200029604,0.053485134000084145,0.0632626019998952,0.05902149100006682,0.18492768600003728,0.02140044020006826,0.055969894999861936,0.0747960520000106,0.08426594499997009,0.18506787900014388,0.02470040760008487,0.027733155000078114,0.03729640999995354,0.03119940300007329,0.012106442999993305,0.007708508199993957,0.028090825000163022,0.037587513000062245,0.031919322000021566,0.012779274999957124,0.007432926000046791,0.027976390000048923,0.03818965499999649,0.031114460000026156,0.012234054000145989,0.0080229058000441,0.027993598999955793,0.037995292000005065,0.05610497399993619,0.011705219000077705,0.007824255200011976,126,126,126,18,84.6,126,126,126,20,81.6,123,126,126,19,94.8,122,126,126,18,89.6
spar040-060-1,40,60,1861,0.2658400264952711,0.23843118991508738,0.2658400264952711,-0.0,0.25958110388473477,0.6735440980308741,0.5038082935871259,0.6735440980308741,0.15885138763820433,0.43273356685761455,0.7495730253854602,0.6484583877723766,0.7504364625700318,0.3534324240736294,0.5431636781237883,0.775883082510388,0.7458103855219299,0.7772541010265226,0.46242684588421235,0.6057934265120063,0.059618621000026906,0.09145751699998073,0.06405744199992114,0.02875456500009932,0.029296711999950275,0.09841089199994713,0.08284532799984845,0.1037433989999954,0.10845888399990145,0.03139955040005589,0.1056801990000622,0.11155030999998417,0.10780613499991887,0.17684312000005775,0.0428960520000146,0.10985060999973939,0.13794152200011922,0.1436865040000157,0.19273949200010065,0.04936657400007789,0.040439631000026566,0.07888554800001657,0.044209706999936316,0.0126586710000538,0.012856331600005433,0.04022059699991587,0.05485593599996719,0.045190149000063684,0.01344191399994088,0.011390072999984114,0.04083132300002035,0.05531709199999568,0.045569525000018984,0.012164676000111285,0.012224074999994627,0.04075630499983163,0.055389740000009624,0.08017199699997946,0.012594837000051484,0.01167498700001488,186,186,186,19,167.6,186,186,186,21,127.6,179,186,186,18,152.2,178,186,186,19,133.2
spar040-060-2,40,60,1619,0.43670913976832954,0.30462054141037537,0.43670913976832954,-0.0,0.3374152831787257,0.7642249509916313,0.5365602316997485,0.7642249509916313,0.06832230543822923,0.5817754695962815,0.8563710208983359,0.7536315464821068,0.8565871207370772,0.3396394284013493,0.686473102055184,0.8838104445383939,0.8463355624674443,0.8909839525374255,0.5247513669150117,0.7392774627764734,0.07198840399996698,0.06127627300020322,0.05501013099978991,0.02633240700015449,0.023059627599968734,0.06426389299986113,0.0620917390001523,0.06760587299982035,0.089689122999971,0.02762268180013052,0.06361046699998951,0.07853664200001731,0.06973751699979402,0.18677444100012508,0.028969963400004416,0.06191298800013101,0.0894850909996876,0.09703288599985171,0.22190286299996842,0.027975138399870047,0.0551048439999704,0.050881334999985484,0.03834164999989298,0.012734630000068137,0.0106158829999913,0.03513440699998682,0.04885280200005582,0.03829302199983431,0.012669102000018029,0.00980922520002423,0.035799485000097775,0.04818698100007168,0.03891177499986043,0.011689472000171008,0.01024926760001108,0.03593259500007662,0.04894976599985057,0.06827354899996863,0.01295268900003066,0.009099345999902652,161,161,161,19,132.0,161,161,161,20,106.0,156,161,161,18,117.0,143,161,161,19,87.6
spar040-060-3,40,60,2381,0.4233938607994267,0.3159040878941826,0.4233938607994267,0.0005229863199423193,0.4574562171049891,0.8141761226025689,0.7207560208494607,0.8141761226025689,0.2804115980681743,0.6866018170702768,0.9142233001167273,0.8481087755034358,0.91935065096989,0.5534830899827319,0.7820443583262512,0.9372033779051879,0.9169226642206101,0.9451336673473114,0.6962415687614799,0.8314898004554259,0.07446807700011959,0.0888793680001072,0.07996183199998086,0.037688211999920895,0.038934151800003744,0.10210037599995303,0.11410303499974361,0.10697973299988917,0.13812998399998833,0.040183511599980196,0.10760825900001691,0.12583045200017295,0.11989592200006882,0.2032160709998152,0.04334364920000553,0.10293372299997827,0.14330326800018156,0.15653862799990748,0.20490526699973088,0.04402068699996562,0.05157041000006757,0.07365905400001793,0.05719055400004436,0.013278054000011252,0.01634720400002152,0.05182104799996523,0.07471363199988446,0.05736948799994934,0.012860372999966785,0.01474000439993688,0.051508388000002014,0.07250558900000215,0.05883279399995445,0.011802178999914759,0.013773041800004649,0.05202183899996271,0.07190652400004183,0.10311657600004764,0.012324451999802477,0.01301707679995161,238,238,238,20,208.4,238,238,238,20,164.2,209,238,238,18,139.4,202,238,238,19,115.6
spar040-070-1,40,70,2995,0.47438342532917416,0.3781194819890957,0.47438342532917416,0.029230603954783402,0.3651647732892412,0.76393798739896,0.6976151009868259,0.76393798739896,0.39249888830678353,0.5776465212435358,0.8278268687771009,0.8088495821090984,0.8258921121473358,0.5619898307564285,0.6615651840856909,0.8462861104009468,0.8439291802464707,0.8522137620552224,0.659083926757653,0.7166689509935519,0.10623817600003349,0.13461598500020955,0.11190209599999434,0.03989897800011022,0.05198195580001084,0.16980730599993876,0.16633786800025518,0.1545745009998427,0.15566566599977705,0.0637056472000495,0.15961937499992018,0.1980299910001122,0.22021731499989983,0.20425353200016616,0.06786891739993735,0.15257497800007513,0.1957470459999513,0.22673421200011035,0.21758304399986628,0.09928799539998182,0.06584845099996528,0.09858007600018937,0.07111340500000551,0.013060236000001169,0.02164158879995739,0.08721381300006215,0.09528592000015124,0.0725278499999149,0.012848233999875447,0.01983775040002911,0.06593535499996506,0.09083820399996512,0.12843347099988023,0.011953479000112566,0.018933764199937288,0.06547101000001021,0.08841126599986637,0.12865975299996535,0.012627097999938997,0.01976017899996805,299,299,299,20,291.4,299,299,299,20,227.0,287,299,299,18,201.2,244,299,299,19,148.8
spar040-070-2,40,70,2889,0.36685340972632857,0.3030428657596529,0.36685340972632857,0.02189870823057155,0.33730709701087686,0.7435774646105306,0.6513786546708114,0.7435774646105306,0.3783990520360501,0.557130566989576,0.8270567767914491,0.7780384111541019,0.8261026328393093,0.5842200920960816,0.6608525691828355,0.8472200635768914,0.8357090998647154,0.8494687023547725,0.6958320728072089,0.7176878782194379,0.0952177629999369,0.11051875699990887,0.10171288499986986,0.04386884500013366,0.04490137799989498,0.1467844960000093,0.15566395700011526,0.15383145999999215,0.1627922170000602,0.05632126179993975,0.16193203599982553,0.17700964799996655,0.24313982800003942,0.18977271099970494,0.0646544384000208,0.1485580639998716,0.2095284960000754,0.21316247799995836,0.24502207899990935,0.06473890000002029,0.0632838989999982,0.09014254599992455,0.06985356599989245,0.0124982690001616,0.01981232759994782,0.06334086100014247,0.0925043669999468,0.07068419799998082,0.01332230899993192,0.018105317999970793,0.06517192899991642,0.0893984439999258,0.14751260599996385,0.012586613999928886,0.017660532800027794,0.06169028899989826,0.08913079600006313,0.12686570400001074,0.012243795999893337,0.01583085279999068,288,288,288,19,255.4,288,288,288,21,209.8,283,288,288,19,192.6,247,288,288,19,146.0
spar040-070-3,40,70,3347,0.39023440645215335,0.20191668953710493,0.39023440645215335,0.03938604217083448,0.3607031918970192,0.7427339509946496,0.6309279045776132,0.7427339509946496,0.4040958678558557,0.5873759635836685,0.8355236372904531,0.7784648698101184,0.8352608571551411,0.6086878090496842,0.6800225980319963,0.8570622857378533,0.8408727360788922,0.8563985217638133,0.7052090991656635,0.7389668499309063,0.11023292699997,0.1210334590000457,0.11856074699994679,0.06144792200007032,0.049482566200049406,0.16042208299995764,0.16791970400004175,0.16966166699990026,0.17768854700011616,0.0627022013999067,0.17970252700001765,0.1911798930000259,0.2459551229999306,0.21884042399983628,0.06488165539999499,0.16046591999997872,0.22587041499991756,0.2314169219998803,0.23135448999983055,0.07156940239992764,0.0719686779998483,0.10577563200013174,0.07953549800004112,0.013318917000106012,0.021812367399979847,0.07316194300005918,0.09944379700004902,0.08229005199996209,0.012323859000161974,0.020919791599953896,0.07424213199988117,0.10038028300004953,0.14587321499993777,0.012352335999821662,0.01934887859997616,0.07234414000004108,0.1022435879999648,0.14522988699991402,0.01245984000001954,0.017463092199977836,334,334,334,20,268.4,334,334,334,19,238.0,324,334,334,19,197.2,277,334,334,19,144.8
spar040-080-1,40,80,4742,0.32766940661582883,0.25701089235009605,0.32766940661582883,0.1314705410103187,0.3309567342878442,0.7497503713116508,0.6022739358254865,0.7497503713116508,0.4384722427669312,0.5427558547392145,0.8106481987402627,0.7760352310075072,0.807394843187021,0.5959490174030855,0.6441227908763814,0.8237766940239856,0.8161932772392466,0.8255141895199624,0.7077663503346764,0.7004082744825885,0.15324905800002853,0.18578395100007583,0.16186493199984398,0.07013611200000014,0.07703651180004271,0.282271443999889,0.26162973299983605,0.29409537800006547,0.15464295099991432,0.1148573474000841,0.31573688999992555,0.40869152100003703,0.4232514729999366,0.24771954300013022,0.1510272927999722,0.2786026429998856,0.4087633030001143,0.45598133400017105,0.35741447600003085,0.1669062132000363,0.10247665199995026,0.14719601199999488,0.1118907309999031,0.012537844999997105,0.033169776000022466,0.10370254899999054,0.14374765099978504,0.11427170300021317,0.012759175999917716,0.030208927200055767,0.10405296599992653,0.16871708000007857,0.20590235700001358,0.01241823899999872,0.030337062199942012,0.10289137699987805,0.13964835500019035,0.21407851399999345,0.012310909000007086,0.030879338800014013,474,474,474,19,442.0,474,474,474,20,350.6,443,474,474,19,347.6,353,474,474,18,227.4
spar040-080-2,40,80,4520,0.385364802551559,0.2803678662692063,0.385364802551559,0.09133624522254166,0.36734986645549805,0.74497701715544,0.6418929031239008,0.74497701715544,0.47812366181597715,0.5809179531907731,0.8150562118989758,0.7793931848375866,0.81360512695931,0.6719451492599776,0.6762182608396571,0.8280529494713539,0.821695280119269,0.8339343078524396,0.7582035689747649,0.7279778181982666,0.15333070800011228,0.1636248899999373,0.15766742599998906,0.06055144699985249,0.07238683500013395,0.26050647200008825,0.24260021300005974,0.27232458899993617,0.20510004500010837,0.10192764579996946,0.2792208710002342,0.3375714550002158,0.38066293899987613,0.2748144500001217,0.12172545400003401,0.24408952099997805,0.3680766570000742,0.39929941599984886,0.272056541999973,0.12121684319995438,0.09954525000011927,0.13420333399994888,0.10615195299988045,0.012848200999997061,0.03115212720008458,0.09910057499996583,0.132992146000106,0.10936306600001444,0.013434863000156838,0.02928598600001351,0.09877752500005954,0.1379167300001427,0.19471936599984474,0.012236966000045868,0.02666927720001695,0.0955877149999651,0.13320317600005183,0.199300631999904,0.013089205999904152,0.02355096039991622,452,452,452,19,396.2,452,452,452,21,332.6,431,452,452,19,271.4,336,452,452,20,191.2
spar040-080-3,40,80,5418,0.3914168082465886,0.2534966523604032,0.3914168082465886,0.1740314335092774,0.39663912542302304,0.7667601539827475,0.6730519109392856,0.7667601539827475,0.6648159111055291,0.6331103744406809,0.8342149555356358,0.7795977875173111,0.8363300228360875,0.8082833551763539,0.7222569670126614,0.847348394716024,0.8331728163303045,0.8524764234614285,0.8563761446790289,0.7665251933850878,0.2028677210000751,0.23023906899993563,0.19677714699992066,0.08702981400006138,0.09836121599964827,0.3158479779999652,0.3227343550001933,0.33099288800008253,0.2593394239997906,0.1371610760000294,0.3360291070002859,0.3792160440000316,0.4992186839999704,0.2748002620000989,0.14790402339995126,0.2997506669998984,0.45195968200005154,0.4707052759997623,0.21575374600024588,0.14649183219989936,0.14085455200006436,0.19737407100001292,0.1332239749999644,0.01321103200007201,0.038468211599865756,0.1186076999999841,0.16686057400011123,0.1315182220000679,0.012292522999814537,0.03632297260010091,0.12043663000008564,0.16337898899996617,0.2396628779999901,0.011774880000075427,0.03097163279999222,0.11559015600005296,0.1633392180001465,0.2631674639999346,0.011749715000178185,0.028074224799911462,541,541,541,20,504.2,541,541,541,19,434.6,524,541,541,18,293.8,393,541,541,18,216.0
spar040-090-1,40,90,6491,0.35474585035942796,0.19869501021383534,0.35474585035942796,0.3018599592507275,0.3693461151612309,0.732293781163804,0.5457995703771092,0.732293781163804,0.6477530433281391,0.5976161816644872,0.7987211772996359,0.7183947938067603,0.7951422915975614,0.7708772745276458,0.6886990110668608,0.8103041796564575,0.7948184169577679,0.8127990491050797,0.8301670660881835,0.7295930550728891,0.24033253599964155,0.23418608600013613,0.22788001099979738,0.10105758100007733,0.11477832319978916,0.4189689980003095,0.35085781800034965,0.45072823100008463,0.26471955299984984,0.17984812280001278,0.5105259560000377,0.5271684220001589,0.6272765000003346,0.292499804000272,0.2222092052001244,0.44909546399958344,0.7107468969998081,0.6721256889995857,0.3664414250001755,0.21086077979998663,0.16704417199980526,0.20377193900003476,0.1540965529998175,0.013197008000133792,0.04561982679988432,0.1448450480002066,0.20075434800037328,0.18170836400031476,0.012377932999697805,0.04346284379989811,0.14495187000011356,0.20234393500004444,0.2862087330004215,0.011961358999997174,0.036425702200085654,0.14258936399983213,0.19183129499970164,0.2823006419998819,0.011794718000146531,0.03314119940005185,649,649,649,20,578.4,649,649,649,19,524.8,612,649,649,18,353.8,467,649,649,18,240.2
spar040-090-2,40,90,7002,0.37186512219053186,0.2342660240610133,0.37186512219053186,0.2795687694206272,0.4019283945726587,0.7246416335742639,0.629531992582303,0.7246416335742639,0.6681846444030433,0.6043990088235037,0.790812617177362,0.7639331612777036,0.7883521216724886,0.7885115483791572,0.6808634447979992,0.8003197040160817,0.7973607897831512,0.8059131370737116,0.8394828884935147,0.7260525310778257,0.2355853589997423,0.2908618110000134,0.2547189970000545,0.1055566310001268,0.12259618439993573,0.45166868599972076,0.4320724720000726,0.4783284499999354,0.25701798799991593,0.1957330479999655,0.49641754699996454,0.6335849679999228,0.65272088599977,0.28168721100018956,0.2142634038000324,0.429066511000201,0.6417394730001433,0.7479533560003802,0.2804134849998263,0.21584871119994203,0.14986754799974733,0.24988425399988046,0.1680203179998898,0.013033097000061389,0.04799607559998549,0.1757450139998582,0.21742742900005396,0.200466853999842,0.011684516000059375,0.04680103939990658,0.15245383100000254,0.21377169400011553,0.3025634410000748,0.011139203999846359,0.03795128720012144,0.14444341700027508,0.2079179299998941,0.3033815570001934,0.011207413999727578,0.034364436600026235,700,700,700,20,611.4,700,700,700,18,568.4,646,700,700,17,345.6,447,700,700,17,248.6
spar040-090-3,40,90,6906,0.37852267161209013,0.29647749282624547,0.37852267161209013,0.33120527212421896,0.4495234893559513,0.7676182004967581,0.6845392060515493,0.7676182004967581,0.7331620394256622,0.6501010163691462,0.8321901221297837,0.7980775620573015,0.832716746442581,0.8315849215982984,0.7348946443307748,0.846592803707879,0.8414930284314986,0.8518133962913221,0.8690530681582254,0.7750697413190176,0.24210562499956723,0.2605321150003874,0.26364776499985965,0.10789278499987631,0.1262309164000726,0.42105030900029305,0.42848233999984586,0.43174169499980053,0.2907545130001381,0.18469951100005347,0.5082408650000616,0.5513750860000073,0.6697757070000989,0.2704257420000431,0.19424417219988754,0.42885472400030267,0.6566898349997246,0.6900113599999713,0.26138279099996,0.1886635581999144,0.174182503999873,0.21613910700034467,0.1948610650001683,0.013214547999723436,0.048156332000053224,0.1512782800000423,0.2095419170000241,0.1660476160000144,0.011753747000057047,0.04601944340010959,0.153107380000165,0.20961033699995824,0.2982338530000561,0.01177652800015494,0.038491280999915035,0.1431213949999801,0.20405902599986803,0.2994626459999381,0.012323838000156684,0.034423250399959214,690,690,690,20,618.0,690,690,690,18,554.6,646,690,690,18,341.8,456,690,690,19,240.8
spar040-100-1,40,100,9395,0.4097286543270879,0.2779491947030098,0.4097286543270879,0.5888661445570925,0.44757832900545036,0.7649301116321414,0.6768800690632671,0.7649301116321414,0.8592612982638701,0.6498493654547475,0.8153462010943069,0.7899395062170907,0.813792733569898,0.910787223645115,0.7269491137374607,0.8236203674474033,0.8206072031276678,0.8291150741803784,0.9337472334830542,0.767345327332792,0.31986993100008476,0.34404700799996135,0.33992012099997737,0.17890109200016013,0.19256343680008287,0.7095240510002441,0.6798750040002233,0.7176429219998681,0.3279913840001427,0.315766478400019,0.8389233059997423,1.037279658999978,0.9937716429999455,0.3145572140006152,0.34701967499986497,0.6823518729997886,1.1492240829998082,1.0041282239999418,0.3117429339999944,0.3586375541997768,0.20310360900020896,0.28067630099985763,0.22451138199994602,0.013396807999924931,0.06696042919993488,0.230342581000059,0.2787535659999776,0.2317385659998763,0.012260796000191476,0.06536322740003016,0.2030409909998525,0.3002110620000167,0.4108380650000072,0.012386226000216993,0.055283289599901766,0.19111151700008122,0.2826479959999233,0.2737843260001682,0.01176928399991084,0.045852578199901475,939,939,939,20,892.6,939,939,939,19,769.0,867,939,939,19,411.0,536,939,939,18,312.4
spar040-100-2,40,100,9579,0.364843204929485,0.17941691143075805,0.364843204929485,0.5538436840301063,0.38476731400163033,0.7102593655510598,0.5560714482895225,0.7102593655510598,0.7730555183054287,0.5939633849586349,0.7737564933077121,0.7288338597124441,0.7705185515427972,0.8468987127879358,0.6773288974654507,0.7819486666891732,0.7773426177375727,0.7838813930102498,0.8777688476695783,0.7196398147354783,0.34762171200009107,0.3464966040000945,0.37245346500003507,0.16483430400012367,0.1762288337999962,0.807411026000409,0.6041568719997485,0.8222013220001827,0.26525111000000834,0.3398296984000808,0.9881753560002835,1.1496936839998853,1.1714976070002194,0.3206837209995683,0.4028355276000184,0.8480465329998879,1.3414132799998697,1.3211650939997526,0.3735908550002023,0.40293816739995236,0.2059008129999711,0.3011567749999813,0.23022055899991756,0.01372484000012264,0.06702257579991056,0.24382340600004682,0.2809900560000642,0.26218393299996023,0.011797159999787254,0.06302937359996577,0.2148177920003036,0.2970266129996162,0.4218677320000097,0.0121200849998786,0.052185125400046675,0.19882228899996335,0.2802172850001625,0.42789872000003015,0.011640477000128158,0.04715805960004218,957,957,957,21,879.8,957,957,957,18,777.6,915,957,957,18,473.8,625,957,957,18,331.2
