q_50_10_25_1
size,cons,density,sel_size
50,10,25,18
feas,comb2,rand 0,rand 1,rand 2,rand 3,rand 4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14989439534610732,0.1862926976426942,0.0979017297206467,0.09634780312276113,0.11301222834761598,0.10162293368046259,0.06349015120044317
0.23555137012614813,0.37803992222394084,0.16363581764824672,0.16018015837241845,0.17455010492629522,0.19254657196468852,0.13877587725553153
0.35620699509423204,0.5109006579172564,0.21425977328842655,0.19006995933965098,0.2193333478905533,0.23645802518542014,0.19121096095534867
0.45478749566567483,0.6044736384732271,0.23327159052578034,0.24803191687755938,0.29549042877076026,0.2800965634204116,0.2415005346799526
0.5370843075346122,0.6574040583685703,0.26073677613028173,0.2772915025115739,0.3185545831491651,0.30570176663334214,0.27805509157270575
0.5880107847785138,0.6846838344200118,0.29669240818990206,0.31733978719835393,0.3610695887331962,0.32768949075426135,0.3104028573342374
0.6180254843958336,0.7014743659466869,0.3589869273791335,0.3405990075262255,0.386412690180262,0.381786896624088,0.3432826329529195
0.669228587268496,0.718869008886738,0.3966899112513326,0.3714146324859651,0.4286968985646733,0.4263469794592197,0.36522416682741904
0.6991256397700847,0.7275115932263934,0.40663295756464846,0.4267930048527263,0.4450672983547454,0.4745585900257859,0.4053739111917748
0.70302921651022,0.7331181355054339,0.42824384037061886,0.48468787225056265,0.46433954487363804,0.48631955995112763,0.4587138285524251
q_50_10_100_1
size,cons,density,sel_size
50,10,100,980
feas,comb2,rand 0,rand 1,rand 2,rand 3,rand 4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2196924593344091,0.22575720250227463,0.2919060591322426,0.29882413363399835,0.3040043371889887,0.2996164154965825,0.29029096550889655
0.4411007520931853,0.5953758858778686,0.4912321667477844,0.46679404285172077,0.4822159820467238,0.47907315167065145,0.4895131628131654
0.549270287300606,0.6808539949803939,0.5707469327628006,0.5631532769272654,0.5648922572935741,0.5665997959321436,0.5695713348924852
