spar040-030-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
40,30,12,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0.710284456,0.734679809,0.587050784,0.576363108,0.585247518,0.589483856,0.579285,0.595629621,0.591111076,0.590430939,0.595924108,0.582573903,0.70551545,0.751293657
0.710583507,0.738042258,0.599157639,0.587732883,0.599368774,0.60487003,0.589157479,0.607938152,0.600379483,0.600213527,0.608112248,0.592490413,0.705791537,0.751293657
0.711075537,0.740728979,0.607685771,0.599220142,0.607505272,0.613815451,0.597293699,0.619264266,0.61085662,0.613606834,0.617403072,0.601548214,0.705954996,0.751293657
0.711503637,0.742611562,0.616072518,0.610710167,0.616935842,0.622270488,0.606895025,0.624910191,0.621468228,0.622591804,0.626997922,0.607156453,0.705997676,0.751293657
0.712032641,0.744462008,0.626251865,0.61850965,0.622257421,0.631046653,0.617939993,0.63246803,0.630034803,0.632273234,0.636635498,0.615517067,0.706039523,0.751293657
spar100-075-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
100,75,3247,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0.687565738
0.189349672,0.094859032,0.256369922,0.260914536,0.260754387,0.263671759,0.265582022,0.256103831,0.26953497,0.262663719,0.262057828,0.266220165,0.199953279,0.687565738
0.568585642,0.258665094,0.448469352,0.451463769,0.447987596,0.458976072,0.459899222,0.446961733,0.450765495,0.454947483,0.454561918,0.457242767,0.564161649,0.687565738
0.660045137,0.443198665,0.539791921,0.536668562,0.541737945,0.546334878,0.551454212,0.539856091,0.540699623,0.541319289,0.544860246,0.546817176,0.658588399,0.687565738
0.67611718,0.530591051,0.587741669,0.591915225,0.59055564,0.591719922,0.593201603,0.588307675,0.592687125,0.588410762,0.591160208,0.591681574,0.674989373,0.687565738
0.679454355,0.651073985,0.619055004,0.621710479,0.622760975,0.622447066,0.621695902,0.618272537,0.621705098,0.618719321,0.620662224,0.623431536,0.677951835,0.687565738
0.680123578,0.672036163,0.640906649,0.641492675,0.643180207,0.642693035,0.642386007,0.640598473,0.642703052,0.641625664,0.641117855,0.643748536,0.678577042,0.687565738
0.68030436,0.68298557,0.654090274,0.655154975,0.656449099,0.65558245,0.656845844,0.655334898,0.655685387,0.655042843,0.656218832,0.656629111,0.678764563,0.687565738
0.680354772,0.685814104,0.663378173,0.664850135,0.665963479,0.664252319,0.665467698,0.664312993,0.664499849,0.664785619,0.665431594,0.666407052,0.678816402,0.687565738
0.680386081,0.686926062,0.670351344,0.671120291,0.671586813,0.671025718,0.671714177,0.670677122,0.670997014,0.671032947,0.67211758,0.672297827,0.678824757,0.687565738
0.680396707,0.687353957,0.675193175,0.675829567,0.675762391,0.675692873,0.676323177,0.675456847,0.675513469,0.675867064,0.676801218,0.676617736,0.678827393,0.687565738
0.680399494,0.687498464,0.678782492,0.678767433,0.679029436,0.67885748,0.679694461,0.678760221,0.678707635,0.679056757,0.679942262,0.679599729,0.678827853,0.687565738
0.680399883,0.687545663,0.681154591,0.681270725,0.681365576,0.681332217,0.681800822,0.681159702,0.681216614,0.681214915,0.681958765,0.681920968,0.678827997,0.687565738
0.680399942,0.687560404,0.682877369,0.683034634,0.683120913,0.683004874,0.683285205,0.68283581,0.68302153,0.682921264,0.683450508,0.683373467,0.678828178,0.687565738
0.680402561,0.68756433,0.684184541,0.684275199,0.684265028,0.684154368,0.68447671,0.684109567,0.684295807,0.684185528,0.684567231,0.684436878,0.678828178,0.687565738
0.680404129,0.687565382,0.685091897,0.685195882,0.685163166,0.685120904,0.68531374,0.685039776,0.685225429,0.685101525,0.685442474,0.685359198,0.678828178,0.687565738
0.680404208,0.687565663,0.685791253,0.685778465,0.685844598,0.685767317,0.686045852,0.685719854,0.685853087,0.685785543,0.686018802,0.685959982,0.678828178,0.687565738
0.680404237,0.687565731,0.686348708,0.686266109,0.686331566,0.686252413,0.686448907,0.686236117,0.68632185,0.686311745,0.686482968,0.686424519,0.678828178,0.687565738
0.680404237,0.687565756,0.686730066,0.68663587,0.686667546,0.686623111,0.686740579,0.686565571,0.686685362,0.686661257,0.686797593,0.686743594,0.678828178,0.687565738
0.680404237,0.687565764,0.686974874,0.686891903,0.68691518,0.686916784,0.686969385,0.686877332,0.686931815,0.686932361,0.687015055,0.686968805,0.678828178,0.687565738
0.680404237,0.687565771,0.687143846,0.687114533,0.687096575,0.687113353,0.687146042,0.687098855,0.687100289,0.687123827,0.687196063,0.687154541,0.678828178,0.687565738
