powerflow0009r_preprocessed
Percent of gap to optimality from M2 closed
feas,comb2,rand 0,rand 1,rand 2,rand 3,rand 4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22423764716550756,0.22423764716550756,0.0,-4.526252189962845e-11,-5.111567288080744e-10,0.0,-2.3845824087049705e-10
0.22434412746342716,0.2243426389441326,-5.971634624393305e-10,-4.526252189962845e-11,-5.111567288080744e-10,-3.553436452937255e-10,-7.780590307737802e-10
0.22479601723372594,0.22480613000369945,0.1687935765725974,-1.0785528075059537e-09,0.017278566355700246,0.00949723482558575,0.052888551213493507
0.253298312917165,0.27813511463524426,0.16879357389799304,0.010443380474151038,0.0172785663877732,0.009544571755159133,0.20827337084519412
0.2533181062309021,0.2784320432376436,0.17510242722167896,0.010709657810119943,0.017743475499718903,0.012163255587328413,0.2088209631420388
0.27872267933010336,0.31079955877325993,0.1755118425738526,0.011897515579153903,0.017743475836869953,0.01216325253491002,0.2109744517925532
0.29343408479603694,0.3111162317476485,0.17565456513618355,0.011897515579153903,0.01985839586625589,0.012932047002291853,0.2148612351671297
0.29367494162469776,0.32336535474452255,0.17565456738110022,0.011897519307112785,0.18245159360704297,0.012932047070446621,0.21489465384131823
0.3118619170000879,0.3350640674557058,0.17881111350618178,0.011897515816268854,0.18826559714531627,0.012932047070446621,0.21500636736889217
0.34612110005834723,0.3484736669627821,0.1788254402633798,0.019833021923953965,0.19019570471158756,0.017661957336783718,0.2155845137763879
0.34779400431025576,0.4021082711695827,0.17883720491470087,0.024798944108608507,0.1902657156096082,0.017661984560986,0.21572460011578365
0.35801062235031883,0.43836805736550954,0.17883738975287664,0.024799024625878394,0.19379625951833904,0.017661984517291767,0.21573456125603757
0.4744253236286046,0.4677269447543981,0.178950548097567,0.025023050229616407,0.1971810920412476,0.022563876465858414,0.21629122309106474
0.5304690014625753,0.5891720762252527,0.17904881566388967,0.025679983346504204,0.1972593849137089,0.022564707806035565,0.21750364955833024
0.5832859849281302,0.6702323086380022,0.17905683755558724,0.030875807919416097,0.19912632766160845,0.026690697631097327,0.2179217710759711
0.6289136570515697,0.7075452689575664,0.1793874075475083,0.040006663612000955,0.1992481354625621,0.02684909439524948,0.21833193529346578
0.6894085661823376,0.7489333439128678,0.18819320049692242,0.040010158112153374,0.20439063364015278,0.027399445074215902,0.2186541156266533
0.755383413802345,0.8054015649675151,0.18838007595166148,0.04001015820538526,0.20439065119982908,0.027458906816031844,0.2200896029677576
0.8187659825955799,0.827316056038994,0.18956596057696598,0.06711785877381077,0.20979243306348308,0.027771451237194156,0.22054503467166678
0.8229430834747424,0.8688709337557883,0.18964936046392414,0.06792442420049052,0.20991239622026236,0.07245418926983455,0.2205450371808045
0.8489906473826919,0.8778364050683902,0.189794734507195,0.2608150088846476,0.2104848449723682,0.07245418146061779,0.22768167314028318
0.8676164310359678,0.9044815819678379,0.19809838830495247,0.2627774588966938,0.21114005425701812,0.19905090622188099,0.2333856378706372
0.868886355443675,0.9163438871143134,0.19809945468469883,0.26290327647882394,0.21287591665032793,0.23845591927189166,0.24010059783729648
0.872557340888179,0.9271692859717892,0.19854618775940425,0.2669026223422096,0.21379055318797804,0.24315846602530092,0.24373052231957795
0.9010070816244716,0.9308203403829939,0.19884153382692032,0.2684530170851861,0.21524502889203653,0.25198776431091585,0.25712598915148605
0.9201675419285265,0.9374212207367913,0.2012654993926589,0.2686107889008581,0.21615223869454117,0.252060950437966,0.2894278745733678
0.9238687702197789,0.9431858848035864,0.2019530559436086,0.2870664234976595,0.23975167874920347,0.2530407814570121,0.29028052216447603
0.9374696789527588,0.9470064604090138,0.2019672423872055,0.30650319751234517,0.24005147506262914,0.25314080352983337,0.32091963306653837
0.9486789029213066,0.9541604390389435,0.20820639344311936,0.30727471863100686,0.29807206557422833,0.25316094633587855,0.3365886189567252
0.9543840866724996,0.9581848649116708,0.24990668773100738,0.35871012440379785,0.3095203447860988,0.28810606246650244,0.34502090700514076
0.9593643037211385,0.9601010137397861,0.25016501697651855,0.38580556233832214,0.4099198446950803,0.34460569386084855,0.3465779268506277
0.9595132114004336,0.9626178901446198,0.25035586625678985,0.39728930561512216,0.4118751878907156,0.35162600516969944,0.34657783191577146
0.9614257711672216,0.9629705103092099,0.25035586625678985,0.39782775741869236,0.4118751878907156,0.3896805176860027,0.35326566017245825
0.9627195057962209,0.9642015631644394,0.2505088139944983,0.39782814976936837,0.4477095254228779,0.41896105807324396,0.35842081667003156
